Question,Answer,File,URL
What is the purpose of the ISC at SFU?,"To foster and grow the Indigenous community at SFU by providing opportunities for students to gain work experience, engage with their community and culture, and support Indigenous students.",0_34,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
How can students get involved with the ISC at SFU?,"Students can get involved with the ISC at SFU by applying to become an Indigenous Student Ambassador (ISA), which involves engaging in community and culture activities, supporting ISC events, responding to inquiries, contributing to social media initiatives, and maintaining ISC spaces.",0_34,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
What role does the Indigenous Student Ambassador (ISA) play within the ISC?,"The Indigenous Student Ambassador (ISA) represents the ISC and serves members of the SFU Indigenous community by creating a welcoming atmosphere, engaging students in initiatives and events, responding to inquiries, contributing to social media, and maintaining ISC spaces.",0_34,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
On which SFU campuses are ISA positions available?,Burnaby and Surrey Campuses,0_34,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
What are the key responsibilities of an Indigenous Student Ambassador?,Providing a welcoming atmosphere for students visiting the ISC spaces and engagement initiatives; student support initiatives and ISC events; responding to in-person and online inquiries; actively contributing to social media initiatives; maintaining the ISC spaces and supporting activities.,0_34,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
How does the ISA assist with engaging students in the ISC community?,"The ISA assists with engaging students by providing a welcoming atmosphere, supporting student engagement initiatives and ISC events, responding to inquiries, actively contributing to social media initiatives, and maintaining the ISC spaces.",0_34,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
What kind of outreach or engagement initiatives are ISA involved in?,"Student engagement initiatives, student support initiatives, ISC events, social media initiatives",0_34,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
How do ISA support activities contribute to the ISC environment?,"ISA support activities help create a welcoming atmosphere, promote student engagement and support initiatives, facilitate communication through social media, and maintain the ISC spaces, all of which foster a supportive and inclusive ISC environment.",0_34,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
Is the position of ISA limited to specific locations or open to multiple campuses?,The position of ISA is open to multiple campuses (Burnaby and Surrey).,0_34,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
Who should I contact if I am interested in applying for the ISA position?,Treena Chambers at treena_chambers@sfu.ca,0_34,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
What is the email address for reaching out about the ISA opportunity?,treena_chambers@sfu.ca,0_34,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
Are applications for Fall 2025 and Spring 2026 still being accepted?,No,0_34,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
How can I find out more details about the ISA job description?,You can reach out to Treena Chambers at treena_chambers@sfu.ca.,0_34,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
What are the contact details for the ISC office?,treena_chambers@sfu.ca,0_34,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
Where are the SFU campuses located?,Burnaby and Surrey,0_34,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services/isc-job-opportunities.html
"Who are the Elders recognized by the ISC, and what backgrounds do they come from?",The Elders recognized by the ISC come from diverse backgrounds and hold distinct traditional knowledge.,0_6_1_1_18,http://www.sfu.ca/students/indigenous/elders.html
How do students stay connected with ISC Elders?,Students can stay connected with ISC Elders through weekly Elder Program Drop-ins.,0_6_1_1_18,http://www.sfu.ca/students/indigenous/elders.html
When are the weekly Elder Program Drop-ins scheduled?,Wednesdays,0_6_1_1_18,http://www.sfu.ca/students/indigenous/elders.html
How do ISC Elders support the SFU community outside of the drop-in sessions?,"ISC Elders support the SFU community by participating in university events and initiatives, providing guidance and support to students, staff, and faculty, and supporting events through Elder support requests.",0_6_1_1_18,http://www.sfu.ca/students/indigenous/elders.html
Are there any Elder Program sessions scheduled during the Summer 2025 semester?,No,0_6_1_1_18,http://www.sfu.ca/students/indigenous/elders.html
"What is the date, time, and location of the event with Russell on June 20, 2025?","June 20, 2025, 2pm-4pm, AQ 3144",0_6_1_1_18,http://www.sfu.ca/students/indigenous/elders.html
What activities are planned for the event with Russell?,Drumming and casual conversation. Food and drums will be provided.,0_6_1_1_18,http://www.sfu.ca/students/indigenous/elders.html
Do attendees need to bring anything to the Elder program drop-ins?,Bring your project you are working on or participate in the session offered.,0_6_1_1_18,http://www.sfu.ca/students/indigenous/elders.html
How can Indigenous students participate in the Elder Program’s Wednesday drop-ins?,Indigenous students can participate in the Wednesday drop-ins by bringing their projects or simply joining the session offered.,0_6_1_1_18,http://www.sfu.ca/students/indigenous/elders.html
What information can I learn about the Elders and Knowledge Keepers supporting the ISC?,"You can learn that the ISC Elders come from diverse backgrounds, hold distinct traditional knowledge, and are available to provide guidance and support to students.",0_6_1_1_18,http://www.sfu.ca/students/indigenous/elders.html
How can I invite an Elder to support or open my event at SFU?,Learn more about how you can invite an Elder to open and support your event.,0_6_1_1_18,http://www.sfu.ca/students/indigenous/elders.html
Where is the Simon Fraser University located?,"8888 University Drive, Burnaby, B.C., Canada",0_6_1_1_18,http://www.sfu.ca/students/indigenous/elders.html
Which Indigenous peoples’ traditional territories does SFU reside on?,"Musqueam, Squamish, Tsleil-Waututh, Katzie, Kwikwetlem, Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_6_1_1_18,http://www.sfu.ca/students/indigenous/elders.html
How does the ISC support requests for Elder support for different groups within the SFU community?,"The ISC coordinates requests for Elder support for students, staff, and faculty from across the SFU community.",0_6_1_1_18,http://www.sfu.ca/students/indigenous/elders.html
"What are the terms and conditions, and privacy policy related to the ISC programs?",Terms & Conditions Privacy policy,0_6_1_1_18,http://www.sfu.ca/students/indigenous/elders.html
Where can I find important academic dates for SFU?  ,SFU's Academic Calendar,0_23,https://www.sfu.ca/students/indigenous/events/calendar-of-events.html
How can I learn about term deadlines and dates at SFU?  ,You can visit SFU's Student Deadlines webpage.,0_23,https://www.sfu.ca/students/indigenous/events/calendar-of-events.html
Are there workshops or events available specifically for Indigenous students at SFU?  ,"Yes, workshops and events are available for self-identified Indigenous (First Nations, Métis, and Inuit) students at SFU.",0_23,https://www.sfu.ca/students/indigenous/events/calendar-of-events.html
Who should I contact to join programs for Indigenous students at SFU?  ,askisc@sfu.ca,0_23,https://www.sfu.ca/students/indigenous/events/calendar-of-events.html
How can I learn more about the Indigenous student programs offered at SFU?  ,Click on the image below to learn more about each program or contact askisc@sfu.ca for more information.,0_23,https://www.sfu.ca/students/indigenous/events/calendar-of-events.html
Where is the SFU campus located?  ,"8888 University Drive, Burnaby, B.C., Canada V5A 1S6",0_23,https://www.sfu.ca/students/indigenous/events/calendar-of-events.html
What is the address of Simon Fraser University?  ,"8888 University Drive, Burnaby, B.C., Canada V5A 1S6",0_23,https://www.sfu.ca/students/indigenous/events/calendar-of-events.html
Which Indigenous peoples' traditional territories does SFU reside on?  ,"Musqueam, Squamish, Tsleil-Waututh, Katzie, Kwikwetlem, Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_23,https://www.sfu.ca/students/indigenous/events/calendar-of-events.html
Are the schedules for the Indigenous programs at SFU fixed or subject to change?  ,The schedules are subject to change.,0_23,https://www.sfu.ca/students/indigenous/events/calendar-of-events.html
Where can I find the exact times and more details about SFU's programs and events?,Refer to the calendar at the bottom of the page.,0_23,https://www.sfu.ca/students/indigenous/events/calendar-of-events.html
Who is Rachel Fouladi and what is her role at SFU?  ,Rachel Fouladi is an Associate Professor at SFU.,0_6_1_1_42,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/Faculty_Contacts.html
How can I contact Nicole Manson regarding Indigenous academic and student matters?  ,fcat_indg@sfu.ca,0_6_1_1_42,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/Faculty_Contacts.html
What is the position of Jennie Blankinship at SFU?  ,"Manager, Office of Indigenous Education",0_6_1_1_42,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/Faculty_Contacts.html
Where can I find a full listing of Indigenous contacts on campus?  ,Visit the Directory of Indigenous Contacts.,0_6_1_1_42,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/Faculty_Contacts.html
What is the email address for the Office of Indigenous Education at SFU?  ,ed_indigenous@sfu.ca,0_6_1_1_42,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/Faculty_Contacts.html
How can I connect with Indigenous faculty and staff at SFU?  ,"You can connect with Indigenous faculty and staff at SFU by reaching out to individuals such as Rachel Fouladi, Nicole Manson, and Jennie Blankinship via their email addresses provided. Additionally, you can visit the Directory of Indigenous Contacts for a full listing of Indigenous contacts on campus.",0_6_1_1_42,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/Faculty_Contacts.html
Where is SFU located?  ,"8888 University Drive, Burnaby, B.C., Canada V5A 1S6",0_6_1_1_42,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/Faculty_Contacts.html
What Indigenous communities' traditional territories does SFU acknowledge?  ,"xʷməθkʷəy̓əm (Musqueam), Sḵwx̱wú7mesh Úxwumixw (Squamish), səlilwətaɬ (Tsleil-Waututh), q̓íc̓əy̓ (Katzie), kʷikʷəƛ̓əm (Kwikwetlem), Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_6_1_1_42,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/Faculty_Contacts.html
How can I get involved or learn more about SFU’s Indigenous community?  ,"You can get involved or learn more about SFU’s Indigenous community by reaching out to Indigenous faculty and staff such as Rachel Fouladi, Nicole Manson, or Jennie Blankinship. Additionally, you can visit the Directory of Indigenous Contacts for a full listing of Indigenous contacts on campus.",0_6_1_1_42,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/Faculty_Contacts.html
What ares of support are available for new students or those switching programs within SFU?,"Indigenous faculty and staff contacts, including an Associate Professor, Indigenous Academic and Student Liaison, and Manager of the Office of Indigenous Education.",0_6_1_1_42,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/Faculty_Contacts.html
What is the Indigenous Learning Living Community at SFU?  ,"The Indigenous Learning Living Community at SFU is a program designed for Canadian Indigenous students to connect with other Indigenous students, engage with and share their Indigenous heritage and knowledge, and participate in cultural and educational opportunities guided by SFU’s Indigenous Student Centre.",0_12_1,https://www.sfu.ca/students/residences/housing-options/living-learning-communities/indigenous.html
Who is the target audience for the Indigenous Learning Living Community?  ,Canadian Indigenous students,0_12_1,https://www.sfu.ca/students/residences/housing-options/living-learning-communities/indigenous.html
What activities and opportunities are available in the Indigenous Learning Living Community?  ,"Engaging with and sharing Indigenous heritage and knowledge, participating in cultural and educational opportunities, peer support, mentorship, and leadership development opportunities.",0_12_1,https://www.sfu.ca/students/residences/housing-options/living-learning-communities/indigenous.html
How can Indigenous students connect with others in this community?  ,"They can connect through peer support, mentorship, and leadership development opportunities.",0_12_1,https://www.sfu.ca/students/residences/housing-options/living-learning-communities/indigenous.html
What types of housing options are available to students in the Indigenous Living Learning Community?  ,Students in the Indigenous Living Learning Community can live across Residence in building types that best fit their academic and personal needs.,0_12_1,https://www.sfu.ca/students/residences/housing-options/living-learning-communities/indigenous.html
How can I apply to join the Indigenous Living Learning Community?  ,Submit your full Name and Email to be contacted with more information.,0_12_1,https://www.sfu.ca/students/residences/housing-options/living-learning-communities/indigenous.html
What information do I need to submit to apply for the Indigenous Learning Living Community?  ,Full Name and Email,0_12_1,https://www.sfu.ca/students/residences/housing-options/living-learning-communities/indigenous.html
What is the contact process after submitting my application for the Indigenous Learning Living Community?  ,"After submitting your full name and email, you will be contacted with more information regarding the Indigenous Living-Learning Community.",0_12_1,https://www.sfu.ca/students/residences/housing-options/living-learning-communities/indigenous.html
Where is Simon Fraser University located?  ,"8888 University Drive, Burnaby, B.C., Canada",0_12_1,https://www.sfu.ca/students/residences/housing-options/living-learning-communities/indigenous.html
Which Indigenous peoples' traditional territories do SFU’s campuses reside on?  ,"xʷməθkʷəy̓əm (Musqueam), Sḵwx̱wú7mesh Úxwumixw (Squamish), səlilwətaɬ (Tsleil-Waututh), q̓íc̓əy̓ (Katzie), kʷikʷəƛ̓əm (Kwikwetlem), Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_12_1,https://www.sfu.ca/students/residences/housing-options/living-learning-communities/indigenous.html
What institutions or communities does SFU acknowledge on its campuses?  ,"Musqueam, Squamish, Tsleil-Waututh, Katzie, Kwikwetlem, Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_12_1,https://www.sfu.ca/students/residences/housing-options/living-learning-communities/indigenous.html
How does SFU support the cultural and educational engagement of Indigenous students?,"SFU supports the cultural and educational engagement of Indigenous students through the Indigenous Learning Living Community, which allows students to connect with peers, share their heritage and knowledge, participate in cultural and educational opportunities guided by SFU’s Indigenous Student Centre, and access mentorship and leadership development opportunities.",0_12_1,https://www.sfu.ca/students/residences/housing-options/living-learning-communities/indigenous.html
"What is the First Nations, Métis & Inuit Student Association (FNMISA)?","FNMISA is an Indigenous student-run group within the Simon Fraser Student Society (SFSS) that provides supports and resources to First Nations, Métis, and Inuit students, advocates for their needs, promotes cultural awareness, and aims to support their success at Simon Fraser University.",0_6_1_1_9,http://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
Within which student society is FNMISA located?,Simon Fraser Student Society (SFSS),0_6_1_1_9,http://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
What are the main purposes of FNMISA?,"- To provide a variety of supports and resources to FNMI students  
- Support and preservation of the various cultural diversities of FNMI peoples  
- To advocate for services and resources necessary for FNMI students to succeed at SFU  
- To promote increased awareness of FNMI cultures and issues to the SFU Community",0_6_1_1_9,http://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
Who can become a member of FNMISA?,"To be a member of FNMISA, one must have full and equal participation rights, which typically includes being a student affiliated with First Nations, Métis, or Inuit communities at Simon Fraser University.",0_6_1_1_9,http://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
What rights do FNMISA members have?,"Full and equal participation rights, access to FNMISA space and resources, motioning and voting at all meetings, eligibility for FNMISA Council and elections, voting during referenda, access to administration documents upon request, and the right to request a copy of the FNMISA Constitution and Bylaws.",0_6_1_1_9,http://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
Where is FNMISA located on campus?,SUB 1440,0_6_1_1_9,http://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
How can you contact FNMISA via email?,board@fnmisa.ca,0_6_1_1_9,http://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
What is the website for FNMISA?,fnmisa.ca,0_6_1_1_9,http://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
What are the social media handles for FNMISA?,"Instagram: @sfu.fnmisa  
Facebook: @sfufnmisa",0_6_1_1_9,http://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
What is the address of FNMISA?,"8888 University Drive, Burnaby, B.C., Canada V5A 1S6",0_6_1_1_9,http://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
Which Indigenous peoples' traditional territories does SFU reside on?,"Musqueam, Squamish, Tsleil-Waututh, Katzie, Kwikwetlem, Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_6_1_1_9,http://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
What does FNMISA do to promote awareness of FNMI cultures?,FNMISA promotes increased awareness of FNMI cultures and issues to the SFU Community.,0_6_1_1_9,http://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
How does FNMISA support the cultural diversity of FNMI peoples?,FNMISA supports the cultural diversity of FNMI peoples by supporting and preserving their various cultural diversities.,0_6_1_1_9,http://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
What opportunities are available to FNMISA members regarding administrative documents?,FNMISA members have the opportunity to request a copy of the FNMISA Constitution and Bylaws of association and to access the open inspection of any administration documents of the FNMISA upon request addressed to the FNMISA Council.,0_6_1_1_9,http://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
How does FNMISA advocate for FNMI students at SFU?,"FNMISA advocates for FNMI students at SFU by providing supports and resources, supporting and preserving FNMI cultural diversities, and promoting increased awareness of FNMI cultures and issues within the SFU community.",0_6_1_1_9,http://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
How soon must the sponsorship form be sent to SFU Student Accounts to be eligible for third-party funding?,No later than the tuition fee deadline for the term.,0_40,https://www.sfu.ca/students/indigenous/programs-and-resources/finances/sponsorships.html
What are the accepted methods for submitting the sponsorship authorization form to Student Accounts?,Fax or email,0_40,https://www.sfu.ca/students/indigenous/programs-and-resources/finances/sponsorships.html
When does the Summer 2025 Semester Bookstore Purchase Period occur?,"May 1st to May 31st, 2025",0_40,https://www.sfu.ca/students/indigenous/programs-and-resources/finances/sponsorships.html
Who can assist with questions or concerns regarding third-party sponsorship and SFU Bookstore purchases?,ISC staff,0_40,https://www.sfu.ca/students/indigenous/programs-and-resources/finances/sponsorships.html
What happens if books and supplies are included in the sponsorship authorization?,An account will be set up for you with the SFU Bookstore.,0_40,https://www.sfu.ca/students/indigenous/programs-and-resources/finances/sponsorships.html
During which dates is the purchase period for invoicing purposes?,"From May 1st to May 31st, 2025.",0_40,https://www.sfu.ca/students/indigenous/programs-and-resources/finances/sponsorships.html
Who is responsible for making SFU Bookstore purchases according to the sponsorship agreement?,It is your responsibility to make SFU Bookstore purchases according to your agreement with the sponsor.,0_40,https://www.sfu.ca/students/indigenous/programs-and-resources/finances/sponsorships.html
What are the consequences of making purchases outside of the sponsorship authorization?,Purchases made outside of the sponsorship authorization will be charged to your SFU student account as an outstanding balance.,0_40,https://www.sfu.ca/students/indigenous/programs-and-resources/finances/sponsorships.html
How can I learn more about using my SFU Bookstore account?,Learn more about how to use your SFU Bookstore account,0_40,https://www.sfu.ca/students/indigenous/programs-and-resources/finances/sponsorships.html
What is the physical address of Simon Fraser University’s campus?,"8888 University Drive Burnaby, B.C. Canada V5A 1S6",0_40,https://www.sfu.ca/students/indigenous/programs-and-resources/finances/sponsorships.html
Which Indigenous peoples' traditional territories do SFU’s campuses reside on?,"Musqueam, Squamish, Tsleil-Waututh, Katzie, Kwikwetlem, Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_40,https://www.sfu.ca/students/indigenous/programs-and-resources/finances/sponsorships.html
What policies and terms are referenced in the website's footer?,"Terms & Conditions
Privacy policy",0_40,https://www.sfu.ca/students/indigenous/programs-and-resources/finances/sponsorships.html
What is the address of the Indigenous Student Centre at SFU?  ,"8888 University Drive, Burnaby, BC, Canada, V5A 1S6",0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
How can I contact the Indigenous Student Centre via phone or fax?  ,"Phone: 778-782-6929
Fax: 778-782-5682",0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
What are the hours of operation for the ISC at SFU?  ,"Monday to Friday, 8:30am–4:30pm",0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
Who is the Director of Indigenous Student Services at SFU?  ,Jessica La Rochelle,0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
How can I set up a meeting with ISC staff?  ,You can reach out to the contact information provided or drop by any of the ISC locations to connect with an ISC staff member.,0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
What types of supports and programs does the ISC provide to Indigenous students?  ,"Supports and programs provided by the ISC include connecting Indigenous students with resources and supports, Indigenous Student Life programs, Elder's Program, cultural connections, Surrey Service Partner Programs, university journey support, admissions guidance, application assistance, Indigenous Clinical Counselling, and various ISC programs and supports tailored to Indigenous students.",0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
Who can I contact for Indigenous student admissions guidance and tours?  ,Indigenous Student Centre staff or the Indigenous Student Recruitment & Admissions Team,0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
How can I learn more about connecting with the Indigenous Student Centre?  ,"You can learn how to connect by visiting the Indigenous Student Centre's website or directory of Indigenous contacts, or by reaching out directly via email or phone provided in the contact information.",0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
Who is on leave until November 2025 from the ISC team?  ,Jessica La Rochelle,0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
How do I inquire about Monthly Lunches or marketing support related to the ISC?  ,Message me about Monthly Lunches at iscproj@sfu.ca or for marketing support at isccomms@sfu.ca!,0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
Where can I find a full listing of Indigenous contacts on SFU campus?  ,Visit the Directory of Indigenous Contacts.,0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
Who is the Coordinator of Indigenous Student Life for the Hwlitsum community?  ,Katrina Haintz,0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
How can I contact the ISC Elder's Program or request an Elder?  ,Reach out to iscelder@sfu.ca.,0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
Who should I speak with about the Indigenous Student Life or staff opportunities?  ,Treena Chambers or Katrina Haintz,0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
"Who can I contact for information about Peer Cousins, Career Programs, or IUPP students?  ",Kim John,0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
How can I connect with the Coordinator of Indigenous Student Life for Cultural Connections or Surrey Service Partner Programs?  ,Message Katrina Haintz at khaintz@sfu.ca.,0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
"Who is the Indigenous Clinical Counsellor at SFU, and how can I book an appointment?  ","The Indigenous Clinical Counsellor at SFU is Tanu Gamble. To book an appointment, please email iscwell@sfu.ca.",0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
How do I contact the Indigenous Clinical Counsellor for appointments?  ,You can email iscwell@sfu.ca to book an appointment with an Indigenous Clinical Counsellor.,0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
"Who is the Director of Snuggles, and what might their role involve?  ","Beans, the Director of Snuggles, likely oversees the organization's cuddling, comfort, and well-being activities related to the Snuggles program.",0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
What is the name and role of the Playtime Coordinator at SFU’s ISC?  ,"Calcifer, Playtime Coordinator",0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
"Can I meet the Wellness Coordinator, and what is their name?  ","Yes, you can meet the Wellness Coordinator. Their name is Calcifer.",0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
"Who is the Land-Based Activity Coordinator at SFU, and how can I reach them?  ",Solo is the Land-Based Activity Coordinator at SFU. You can reach them at AQ 3144.,0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
What are the traditional territories on which SFU’s campuses are located?,"Musqueam, Squamish, Tsleil-Waututh, Katzie, Kwikwetlem, Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_3,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
What is the purpose of ISC's Cultural Connections program?,To provide Indigenous Students with opportunities to connect and engage with cultural and artistic activities.,0_7,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
Who can participate in the Cultural Connections activities?,Self-identified Indigenous Students,0_7,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
How often are the Cultural Connections events held?,Weekly,0_7,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
Where is the Burnaby Campus Cultural Connections event located?,AQ 2002,0_7,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
What are the typical days and times for the Burnaby Campus sessions?,Fridays (varies) from 2:00pm to 4:00pm,0_7,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
Where is the Surrey Campus Cultural Connections event held?,SRYC 5300,0_7,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
How can I find out the specific days and times for Surrey Campus activities?,The days and times for Surrey Campus activities vary; please check the ISC Calendar of Events or the ISC Newsletter for updates.,0_7,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
Who can I contact for more information about the Cultural Connections program?,Katie Pearson at kpearson@sfu.ca,0_7,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
What email address should I use to inquire about the program?,kpearson@sfu.ca,0_7,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
How can I stay updated about Cultural Connections events and register for them?,Check the ISC Calendar of Events or the ISC Newsletter for updates and registration links.,0_7,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
What are some types of activities included in the Cultural Connections program?,"Cultural and artistic activities, casual gatherings for sharing artistic projects, workshops led by local artists",0_7,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
Where is Simon Fraser University located?,"8888 University Drive Burnaby, B.C. Canada V5A 1S6",0_7,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
What Indigenous peoples' traditional territories does SFU reside on?,"Musqueam, Squamish, Tsleil-Waututh, Katzie, Kwikwetlem, Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_7,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
How can I access the ISC Calendar of Events?,Check the ISC Newsletter or contact Katie Pearson at kpearson@sfu.ca for registration links and updates.,0_7,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
What is the significance of the acknowledgment of Indigenous territories in the program?,"The acknowledgment recognizes and respects the traditional territories of the Indigenous peoples on whose unceded lands the campuses are located, showing respect for their sovereignty and cultural heritage.",0_7,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
What is the Indigenous University Preparation Pathway (IUPP)?,"The Indigenous University Preparation Pathway (IUPP) is a program that welcomes First Nations, Métis, and Inuit students to a university learning environment that affirms and integrates Indigenous knowledge and perspectives.",0_6_1_1_41,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/indigenous-university-preparation-pathway.html
Who is eligible to join the IUPP program?,"First Nations, Métis, and Inuit students",0_6_1_1_41,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/indigenous-university-preparation-pathway.html
What is the purpose of the IUPP at Simon Fraser University?,"The purpose of the IUPP at Simon Fraser University is to welcome First Nations, Métis, and Inuit students to a university learning environment that affirms and integrates Indigenous knowledge and perspectives, and to support them as they explore university alongside Elders, mentors, tutors, and instructors.",0_6_1_1_41,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/indigenous-university-preparation-pathway.html
Who will students in the IUPP cohort learn with?,"Elders, mentors, tutors, and instructors",0_6_1_1_41,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/indigenous-university-preparation-pathway.html
What types of Indigenous knowledge and perspectives are integrated into the IUPP?,"Indigenous knowledge and perspectives are integrated into the IUPP through affirming and incorporating Indigenous ways of knowing, cultural practices, languages, histories, and worldviews.",0_6_1_1_41,http://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment/indigenous-university-preparation-pathway.html
